device_name,model_code,version,region_code,file_size,chipset,build_date,build_date_raw,filename,url,scraped_at,note
Tecno Pouvoir 3 Air LC6A,LC6A,V138,,1 GB,MT6761,2020-06-17,200617,Tecno_Pouvoir_3_Air_LC6A_MT6761_V138_200617.zip,https://naijarom.com/tecno-pouvoir-3-air-lc6a,2026-09-22T00:59:25.631904+00:00,
Tecno Pouvoir 3 Air LC6A,LC6A,V173,,1.09 GB,MT6761,2021-06-15,210615,Tecno_Pouvoir_3_Air_LC6A_MT6761_V173_210615.zip,https://naijarom.com/tecno-pouvoir-3-air-lc6a,2026-09-22T00:59:25.631949+00:00,
Tecno Pouvoir 3 LB7,LB7,V213,,1.63 GB,MT6739,2025-04-19,190425,Tecno_Pouvoir_3_LB7_MT6739_V213_190425.zip,https://naijarom.com/tecno-pouvoir-3-lb7,2026-09-22T00:59:30.736752+00:00,
Tecno Pouvoir 3 Plus LB8,LB8,V214,,1.73 GB,MT6765,2025-09-19,190925,Tecno_Pouvoir_3_Plus_LB8_MT6765_V214_190925.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8,2026-09-22T00:59:36.027482+00:00,
Tecno Pouvoir 3 Plus LB8,LB8,V306,,1.73 GB,MT6765,2021-08-20,200821,Tecno_Pouvoir_3_Plus_LB8_MT6765_V306_200821.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8,2026-09-22T00:59:36.027540+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V147,,2 GB,MT6765,2029-09-19,190929,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V147_190929.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246612+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V184,,2 GB,MT6765,2020-07-08,200708,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V184_200708.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246643+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V187,,2 GB,MT6765,2020-08-19,200819,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V187_200819.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246662+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V190,,2 GB,MT6765,2020-10-09,201009,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V190_201009.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246679+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V211,,2.04 GB,MT6765,2021-07-01,210701,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V211_210701.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246698+00:00,
Tecno Pouvoir 3 Plus LB8A,LB8A,V219,,1.98 GB,MT6765,2021-08-31,210831,Tecno_Pouvoir_3_Plus_LB8A_MT6765_V219_210831.zip,https://naijarom.com/tecno-pouvoir-3-plus-lb8a,2026-09-22T00:59:40.246718+00:00,
Tecno Pouvoir 4 LC7,LC7,V218,,1 GB,MT6761,2020-07-03,200703,Tecno_Pouvoir_4_LC7_MT6761_V218_200703.zip,https://naijarom.com/tecno-pouvoir-4-lc7,2026-09-22T00:59:45.280842+00:00,
Tecno Pouvoir 4 LC7,LC7,V304,,2 GB,MT6761,2020-06-12,200612,Tecno_Pouvoir_4_LC7_MT6761_V304_200612.zip,https://naijarom.com/tecno-pouvoir-4-lc7,2026-09-22T00:59:45.280981+00:00,
Tecno Pouvoir 4 LC7,LC7,V315,,2 GB,MT6761,2020-08-11,200811,Tecno_Pouvoir_4_LC7_MT6761_V315_200811.zip,https://naijarom.com/tecno-pouvoir-4-lc7,2026-09-22T00:59:45.281048+00:00,
