phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia T10,2023-08-01,Monthly,Dec-25,Aug-23,00WW_2_310_SP03,SP Only (Android 13),,"August 29, 2023"
Nokia C31,2023-06-01,Quarterly,Dec-24,Jun-23,00WW_1_260,MR Update and SP (Android 12),,"August 25, 2023"
Nokia T20,2023-08-01,Monthly,Nov-24,Aug-23,00WW_2_380_SP03,SP Only (Android 12),,"August 25, 2023"
Nokia G42 5G,2023-07-01,Monthly,Aug-26,Jul-23,00WW_1_360,Ramp Up Production (Android 13),,"August 25, 2023"
Nokia C10,2023-08-01,Final guaranteed Security Patch Update,Aug-23,Aug-23,00WW_1_890_SP02,SP Only (Android 11 GO),,"August 24, 2023"
Nokia C30 (India),2023-07-01,Quarterly,Dec-23,Jul-23,00WW_1_970,MR Update and SP (Android 11 GO),,"August 23, 2023"
Nokia X30 5G,2023-08-01,Monthly,Jan-26,Aug-23,00WW_2_300_SP02,SP Only (Android 13),,"August 22, 2023"
Nokia XR20,2023-08-01,Monthly,Nov-25,Aug-23,00WW_3_350_SP02,SP Only (Android 13),,"August 22, 2023"
Nokia X20,2023-08-01,Monthly,Jul-24,Aug-23,00WW_3_500_SP02,SP Only (Android 13),,"August 22, 2023"
Nokia X10,2023-08-01,Monthly,Sep-24,Aug-23,00WW_3_390_SP02,SP Only (Android 13),,"August 22, 2023"
Nokia G50,2023-08-01,Monthly,Dec-24,Aug-23,00WW_3_320_SP02,SP Only (Android 13),,"August 22, 2023"
Nokia XR21,2023-08-01,Monthly,Mar-27,Aug-23,00WW_2_210_SP01,SP Only (Android 13),Estimated,"August 22, 2023"
Nokia C01 Plus,2023-08-01,Final guaranteed Security Patch Update,Aug-23,Aug-23,00WW_1_400_SP01,SP Only (Android 11 GO),,"August 21, 2023"
Nokia T21,2023-07-01,Monthly,Mar-26,Jul-23,00WW_1_320_SP01,SP Only (Android 12),,"August 17, 2023"
Nokia G60 5G,2023-08-01,Monthly,Dec-25,Aug-23,00WW_2_350_SP02,SP Only (Android 13),,"August 15, 2023"
Nokia G10,2023-07-01,Monthly,Jul-24,Jul-23,00WW_2_400_SP13,SP Only (Android 12),,"August 14, 2023"
Nokia C12,2023-07-01,Quarterly,Apr-25,Jul-23,00WW_1_370,MR Update and SP (Android 12 GO),,"August 14, 2023"
Nokia C20 Plus,2023-08-01,Quarterly,Sep-23,Aug-23,00WW_1_140_SP06,SP Only (Android 11 GO),,"August 14, 2023"
Nokia C2 2nd Edition,2023-08-01,Quarterly,Jul-24,Aug-23,00WW_1_340_SP02,SP Only (Android 11 GO),,"August 14, 2023"
Nokia C30,2023-07-01,Bi-Monthly,Dec-23,Jul-23,00WW_1_910,MR Update and SP (Android 11 GO),,"August 09, 2023"
Nokia G11 Plus,2023-07-01,Monthly,Oct-25,Jul-23,00WW_2_510_SP02,SP Only (Android 13),,"August 04, 2023"
Nokia 8.3 5G,2023-07-01,Monthly,Nov-23,Jul-23,00WW_3_49F_SP08,SP Only (Android 12),,"August 04, 2023"
Nokia G11,2023-07-01,Monthly,May-25,Jul-23,00WW_3_430_SP03,SP Only (Android 13),,"August 04, 2023"
Nokia G21,2023-07-01,Monthly,Mar-25,Jul-23,00WW_3_430_SP03,SP Only (Android 13),,"August 04, 2023"
Nokia G10,2023-07-01,Monthly,Jul-24,Jul-23,00WW_3_300_SP04,SP Only (Android 13),,"August 04, 2023"
Nokia G22,2023-07-01,Monthly,Apr-26,Jul-23,00WW_1_240_SP01,SP Only (Android 12),,"August 01, 2023"
Nokia 2.4,2023-07-01,Monthly,Oct-23,Jul-23,00WW_3_470_SP04,SP Only (Android 12),,"August 01, 2023"
Nokia G20,2023-07-01,Monthly,Jul-24,Jul-23,00WW_3_310_SP02,SP Only (Android 13),,"August 01, 2023"
Nokia 1.4,2023-07-01,Monthly,Apr-24,Jul-23,00WW_2_210_SP05,SP Only (Android 11 GO),,"August 01, 2023"
Nokia C02,2023-06-01,Quarterly,May-25,Jun-23,00WW_1_200,MR Update and SP (Android 12 GO),,"July 31, 2023"
Nokia 3.4,2023-07-01,Monthly,Nov-23,Jul-23,00WW_3_500_SP04,SP Only (Android 12),,"July 26, 2023"
Nokia 5.4,2023-07-01,Monthly,Jan-24,Jul-23,00WW_3_460_SP04,SP Only (Android 12),,"July 26, 2023"
Nokia T21,2023-06-01,Monthly,Mar-26,Jun-23,00WW_1_320,MR Update and SP (Android 12),,"July 25, 2023"
Nokia XR21,2023-07-01,Monthly,Mar-27,Jul-23,00WW_2_210,MR Upgrade and SP (Android 13),Estimated,"July 25, 2023"
Nokia C1 2nd Edition,2023-07-01,Quarterly,Sep-23,Jul-23,00WW_1_220_SP04,SP Only (Android 11 GO),,"July 24, 2023"
Nokia T10,2023-07-01,Monthly,Dec-25,Jul-23,00WW_2_310_SP02,SP Only (Android 13),,"July 24, 2023"
Nokia C22,2023-06-01,Quarterly,Jun-25,Jun-23,00WW_1_270,MR Update and SP (Android 13 GO),,"July 21, 2023"
Nokia C32,2023-06-01,Quarterly,May-25,Jun-23,00WW_1_260,MR update and SP (Android 13),,"July 21, 2023"
Nokia X10,2023-07-01,Monthly,Sep-24,Jul-23,00WW_3_390_SP01,SP Only (Android 13),,"July 18, 2023"
Nokia X20,2023-07-01,Monthly,Jul-24,Jul-23,00WW_3_500_SP01,SP Only (Android 13),,"July 18, 2023"
Nokia XR20,2023-07-01,Monthly,Nov-25,Jul-23,00WW_3_350_SP01,SP Only (Android 13),,"July 18, 2023"
Nokia G50,2023-07-01,Monthly,Dec-24,Jul-23,00WW_3_320_SP01,SP Only (Android 13),,"July 18, 2023"
Nokia G42 5G,2023-06-01,Monthly,Aug-26,Jun-23,00WW_1_190,MR update and SP (Android 13) ,,"July 17, 2023"
Nokia C21,2023-07-01,Quarterly,Jun-24,Jul-23,00WW_1_280_SP01,SP Only (Android 11 GO),,"July 14, 2023"
Nokia G11,2023-05-01,Monthly,May-25,May-23,00WW_2_640_SP02,SP Only (Android 12),,"July 14, 2023"
Nokia C10,2023-07-01,Quarterly,Aug-23,Jul-23,00WW_1_890_SP01,SP Only (Android 11 GO),,"July 12, 2023"
Nokia C12,2023-07-01,Quarterly,Apr-25,Jul-23,00WW_1_290_SP01,SP Only (Android 12 GO),,"July 12, 2023"
Nokia T20,2023-07-01,Monthly,Nov-24,Jul-23,00WW_2_380_SP02,SP Only (Android 12),,"July 10, 2023"
Nokia G11 Plus,2023-06-01,Monthly,Oct-25,Jun-23,00WW_2_510_SP01,SP Only (Android 13),,"July 07, 2023"
Nokia G21,2023-06-01,Monthly,Mar-25,Jun-23,00WW_3_430_SP02,SP Only (Android 13),,"July 07, 2023"
Nokia G11,2023-06-01,Monthly,May-25,Jun-23,00WW_3_430_SP02,SP Only (Android 13),,"July 07, 2023"
Nokia G60 5G,2023-07-01,Monthly,Dec-25,Jul-23,00WW_2_350_SP01,SP Only (Android 13),,"July 06, 2023"
Nokia X30 5G,2023-07-01,Monthly,Jan-26,Jul-23,00WW_2_300_SP01,SP Only (Android 13),,"July 06, 2023"
Nokia G50,2023-06-01,Monthly,Dec-24,Jun-23,00WW_3_320,MR Upgrade and SP (Android 13),,"July 04, 2023"
Nokia C22,2023-06-01,Quarterly,Jun-25,Jun-23,00WW_1_250,MR Update and SP (Android 13 GO),,"July 03, 2023"
Nokia XR20,2023-06-01,Monthly,Nov-25,Jun-23,00WW_3_350,MR Update and SP (Android 13),,"July 03, 2023"
Nokia 5.3,2023-06-01,Final guaranteed Security Patch Update,Jun-23,Jun-23,00WW_3_490_SP03,SP Only (Android 12),,"July 03, 2023"
Nokia G10,2023-06-01,Monthly,Jul-24,Jun-23,00WW_2_400_SP12,SP Only (Android 12),,"June 29, 2023"
Nokia G10,2023-06-01,Monthly,Jul-24,Jun-23,00WW_3_300_SP03,SP Only (Android 13),,"June 29, 2023"
Nokia C20,2023-06-01,Final guaranteed Security Patch Update,Jun-23,Jun-23,00WW_1_870_SP01,SP Only (Android 11 GO),,"June 29, 2023"
Nokia G20,2023-06-01,Monthly,Jul-24,Jun-23,00WW_3_310_SP01,SP Only (Android 13),,"June 28, 2023"
Nokia 2.4,2023-06-01,Monthly,Oct-23,Jun-23,00WW_3_470_SP03,SP Only (Android 12),,"June 28, 2023"
Nokia C30,2023-06-01,Bi-Monthly,Dec-23,Jun-23,00WW_1_900_SP01,SP Only (Android 11 GO),,"June 28, 2023"
Nokia 1.4,2023-06-01,Monthly,Apr-24,Jun-23,00WW_2_210_SP04,SP Only (Android 11 GO),,"June 28, 2023"
Nokia 8.3 5G,2023-06-01,Monthly,Nov-23,Jun-23,00WW_3_49F_SP07,SP Only (Android 12),,"June 28, 2023"
Nokia G11 Plus,2023-05-01,Monthly,Oct-25,May-23,00WW_2_510,MR update and SP (Android 13) ,,"June 28, 2023"
Nokia XR21,2023-06-01,Monthly,Mar-27,Jun-23,00WW_1_090_SP01,SP Only (Android 12),Estimated,"June 28, 2023"
Nokia G22,2023-06-01,Monthly,Apr-26,Jun-23,00WW_1_240,MR update and SP (Android 12) ,,"June 26, 2023"
Nokia T21,2023-05-01,Monthly,Mar-26,May-23,00WW_1_310_SP01,SP Only (Android 12),,"June 26, 2023"
Nokia C21 Plus,2023-06-01,Quarterly,Jun-24,Jun-23,00WW_1_270_SP01,SP Only (Android 11 GO),,"June 26, 2023"
Nokia X10,2023-06-01,Monthly,Sep-24,Jun-23,00WW_3_390,MR Update and SP (Android 13),,"June 22, 2023"
Nokia X20,2023-06-01,Monthly,Jul-24,Jun-23,00WW_3_500,MR Upgrade and SP (Android 13),,"June 22, 2023"
Nokia C32,2023-06-01,Quarterly,May-25,Jun-23,00WW_1_230,MR update and SP (Android 13),,"June 22, 2023"
Nokia T20,2023-06-01,Monthly,Nov-24,Jun-23,00WW_2_380_SP01,SP Only (Android 12),,"June 22, 2023"
Nokia X30 5G,2023-05-01,Monthly,Jan-26,May-23,00WW_2_300,MR Update and SP (Android 12),,"June 21, 2023"
Nokia C01 Plus,2023-05-01,Quarterly,Aug-23,May-23,00WW_1_400,MR Update and SP (Android 11 GO),,"June 20, 2023"
Nokia T10,2023-06-01,Monthly,Dec-25,Jun-23,00WW_2_310_SP01,SP Only (Android 13),,"June 20, 2023"
Nokia G60 5G,2023-05-01,Monthly,Dec-25,May-23,00WW_2_350 ,MR update and SP (Android 13) ,,"June 20, 2023"
Nokia 3.4,2023-06-01,Monthly,Nov-23,Jun-23,00WW_3_500_SP03,SP Only (Android 12),,"June 19, 2023"
Nokia 5.4,2023-06-01,Monthly,Jan-24,Jun-23,00WW_3_460_SP03,SP Only (Android 12),,"June 19, 2023"
Nokia C32,2023-06-01,Quarterly,May-25,Jun-23,00WW_1_190,MR update and SP (Android 13),,"June 12, 2023"
Nokia C02,2023-05-01,Quarterly,May-25,May-23,00WW_1_150,MR Update and SP (Android 12 GO),,"June 08, 2023"
Nokia 1.3,2023-06-01,Final guaranteed Security Patch Update,Jun-23,Jun-23,00WW_2_370_SP08,SP Only (Android 11 GO),Monthly to Quarterly SPs after Jun-22,"June 07, 2023"
Nokia C30 (India),2023-04-01,Quarterly,Dec-23,Apr-23,00WW_1_920,MR Update and SP (Android 11 GO),,"June 06, 2023"
Nokia G21,2023-05-01,Monthly,Mar-25,May-23,00WW_3_430_SP01,SP Only (Android 13),,"June 06, 2023"
Nokia G11,2023-05-01,Monthly,May-25,May-23,00WW_3_430_SP01,SP Only (Android 13),,"June 06, 2023"
Nokia 5.3,2023-05-01,Monthly,Jun-23,May-23,00WW_3_490_SP02,SP Only (Android 12),,"June 05, 2023"
Nokia C20,2023-04-01,Quarterly,Jun-23,Apr-23,00WW_1_870,MR Update and SP (Android 11 GO),,"June 05, 2023"
Nokia G11 Plus,2023-05-01,Monthly,Oct-25,May-23,00WW_2_420_SP01,SP Only (Android 13),,"June 05, 2023"
Nokia C2 2nd Edition,2023-05-01,Quarterly,Jul-24,May-23,00WW_1_340_SP01,SP Only (Android 11 GO),,"June 05, 2023"
Nokia 8.3 5G,2023-05-01,Monthly,Nov-23,May-23,00WW_3_49F_SP06,SP Only (Android 12),,"June 03, 2023"
Nokia G42 5G,2023-05-01,Monthly,Aug-26,May-23,00WW_1_120,Ramp Up Production (Android 13),,"June 02, 2023"
Nokia 1.4,2023-05-01,Monthly,Apr-24,May-23,00WW_2_210_SP03,SP Only (Android 11 GO),,"May 31, 2023"
Nokia G20,2023-05-01,Monthly,Jul-24,May-23,00WW_3_310,MR update and SP (Android 13) ,,"May 31, 2023"
Nokia G60 5G,2023-05-01,Monthly,Dec-25,May-23,00WW_2_290_SP01,SP Only (Android 13),,"May 30, 2023"
Nokia XR20,2023-05-01,Monthly,Nov-25,May-23,00WW_3_340_SP01,SP Only (Android 13),,"May 30, 2023"
Nokia C12,2023-04-01,Quarterly,Apr-25,Apr-23,00WW_1_290,MR Update and SP (Android 12 GO),,"May 30, 2023"
Nokia G50,2023-05-01,Monthly,Dec-24,May-23,00WW_3_310_SP01 ,SP Only (Android 13),,"May 30, 2023"
Nokia X30 5G,2023-05-01,Monthly,Jan-26,May-23,00WW_2_220_SP02,SP Only (Android 13),,"May 30, 2023"
Nokia T20,2023-05-01,Monthly,Nov-24,May-23,00WW_2_380,MR Update and SP (Android 12),,"May 29, 2023"
Nokia C31,2023-05-01,Quarterly,Dec-24,May-23,00WW_1_230,MR Update and SP (Android 12),,"May 26, 2023"
Nokia X10,2023-05-01,Monthly,Sep-24,May-23,00WW_3_380_SP01,SP Only (Android 13),,"May 26, 2023"
Nokia X20,2023-05-01,Monthly,Jul-24,May-23,00WW_3_490_SP01,SP Only (Android 13),,"May 26, 2023"
Nokia T10,2023-05-01,Monthly,Dec-25,May-23,00WW_2_310,MR Upgrade and SP (Android 13),,"May 23, 2023"
Nokia G10,2023-05-01,Monthly,Jul-24,May-23,00WW_2_400_SP11,SP Only (Android 12),,"May 23, 2023"
Nokia G10,2023-05-01,Monthly,Jul-24,May-23,00WW_3_300_SP02,SP Only (Android 13),,"May 23, 2023"
Nokia 2.4,2023-05-01,Monthly,Oct-23,May-23,00WW_3_470_SP02,SP Only (Android 12),,"May 23, 2023"
Nokia C10,2023-04-01,Quarterly,Aug-23,Apr-23,00WW_1_890,MR Update and SP (Android 11 GO),,"May 22, 2023"
Nokia T21,2023-04-01,Monthly,Mar-26,Apr-23,00WW_1_310,MR Update and SP (Android 12),,"May 22, 2023"
Nokia G11 Plus,2023-04-01,Monthly,Oct-25,Apr-23,00WW_1_430_SP01,SP Only (Android 12),,"May 19, 2023"
Nokia G60 5G,2023-04-01,Monthly,Dec-25,Apr-23,00WW_1_280_SP03,SP Only (Android 12),,"May 18, 2023"
Nokia C30,2023-04-01,Bi-Monthly,Dec-23,Apr-23,00WW_1_900,MR Update and SP (Android 11 GO),,"May 16, 2023"
Nokia 3.4,2023-05-01,Monthly,Nov-23,May-23,00WW_3_500_SP02,SP Only (Android 12),,"May 16, 2023"
Nokia 5.4,2023-05-01,Monthly,Jan-24,May-23,00WW_3_460_SP02,SP Only (Android 12),,"May 16, 2023"
Nokia XR21,2023-03-01,Monthly,Mar-27,Mar-23,00WW_1_200,Ramp Up Production (Android 12 ),Estimated,"May 16, 2023"
Nokia C21,2023-04-01,Quarterly,Jun-24,Apr-23,00WW_1_280,MR Update and SP (Android 11 GO),,"May 15, 2023"
Nokia C1 Plus,2023-02-01,Final guaranteed Security Patch Update,Jan-23,Feb-23,00WW_1_100,MR Update and SP (Android 10 GO),,"May 15, 2023"
Nokia C3,2023-02-01,Final guaranteed Security Patch Update,Nov-22,Feb-23,00WW_1_260,MR Update and SP (Android 10),,"May 15, 2023"
Nokia G22,2023-05-01,Monthly,Apr-26,May-23,00WW_1_160_SP01,SP Only (Android 12),,"May 15, 2023"
Nokia C32,2023-04-01,Quarterly,May-25,Apr-23,00WW_1_150,MR update and SP (Android 13),,"May 15, 2023"
Nokia G50,2023-04-01,Monthly,Dec-24,Apr-23,00WW_3_310 ,MR Upgrade and SP (Android 13),,"May 12, 2023"
Nokia C20 Plus,2023-05-01,Quarterly,Sep-23,May-23,00WW_1_140_SP05,SP Only (Android 11 GO),,"May 11, 2023"
Nokia C22,2023-04-01,Quarterly,Jun-25,Apr-23,00WW_1_180,MR Update and SP (Android 13 GO),,"May 09, 2023"
Nokia 8.3 5G,2023-04-01,Monthly,Nov-23,Apr-23,00WW_3_490_SP04,SP Only (Android 12),,"May 08, 2023"
Nokia C21 Plus,2023-03-01,Quarterly,Jun-24,Mar-23,00WW_1_270,MR Update and SP (Android 11 GO),,"May 08, 2023"
Nokia XR20,2023-04-01,Monthly,Nov-25,Apr-23,00WW_3_340,MR Update and SP (Android 13),,"May 05, 2023"
Nokia 1.4,2023-04-01,Monthly,Apr-24,Apr-23,00WW_2_210_SP02,SP Only (Android 11 GO),,"May 04, 2023"
Nokia X30 5G,2023-04-01,Monthly,Jan-26,Apr-23,00WW_2_220_SP01,SP Only (Android 13),,"May 04, 2023"
Nokia T10,2023-04-01,Monthly,Dec-25,Apr-23,00WW_1_320_SP03,SP Only (Android 12),,"May 04, 2023"
Nokia G60 5G,2023-04-01,Monthly,Dec-25,Apr-23,00WW_2_290,MR update and SP (Android 13) ,,"May 04, 2023"
Nokia G22,2023-04-01,Monthly,Apr-26,Apr-23,00WW_1_160,MR update and SP (Android 12) ,,"May 04, 2023"
Nokia G20,2023-04-01,Monthly,Jul-24,Apr-23,00WW_2_360_SP10,SP Only (Android 12),,"May 03, 2023"
Nokia G20,2023-04-01,Monthly,Jul-24,Apr-23,00WW_3_290_SP01,SP Only (Android 13),,"May 03, 2023"
Nokia G10,2023-04-01,Monthly,Jul-24,Apr-23,00WW_2_400_SP10,SP Only (Android 12),,"May 03, 2023"
Nokia G10,2023-04-01,Monthly,Jul-24,Apr-23,00WW_3_300_SP01,SP Only (Android 13),,"May 03, 2023"
Nokia C1 2nd Edition,2023-04-01,Quarterly,Sep-23,Apr-23,00WW_1_220_SP03,SP Only (Android 11 GO),,"May 03, 2023"
Nokia C2 2nd Edition,2023-02-01,Quarterly,Jul-24,Feb-23,00WW_1_340,MR Update and SP (Android 11 GO),,"May 02, 2023"
Nokia G21,2023-04-01,Monthly,Mar-25,Apr-23,00WW_3_430,MR Upgrade and SP (Android 13),,"April 28, 2023"
Nokia G11,2023-04-01,Monthly,May-25,Apr-23,00WW_3_430,MR Upgrade and SP (Android 13),,"April 27, 2023"
Nokia 2.4,2023-04-01,Monthly,Oct-23,Apr-23,00WW_3_470_SP01,SP Only (Android 12),,"April 27, 2023"
Nokia C12,2023-04-01,Quarterly,Apr-25,Apr-23,00WW_1_220_SP01,SP Only (Android 12 GO),,"April 26, 2023"
Nokia 3.4,2023-04-01,Monthly,Nov-23,Apr-23,00WW_3_500_SP01,SP Only (Android 12),,"April 26, 2023"
Nokia 5.4,2023-04-01,Monthly,Jan-24,Apr-23,00WW_3_460_SP01,SP Only (Android 12),,"April 26, 2023"
Nokia X20,2023-04-01,Monthly,Jul-24,Apr-23,00WW_3_490,MR Upgrade and SP (Android 13),,"April 25, 2023"
Nokia X10,2023-04-01,Monthly,Sep-24,Apr-23,00WW_3_380,MR Upgrade and SP (Android 13),,"April 25, 2023"
Nokia C02,2023-03-01,Quarterly,May-25,Mar-23,00WW_1_100,MR Update and SP (Android 12 GO),,"April 24, 2023"
Nokia G11 Plus,2023-04-01,Monthly,Oct-25,Apr-23,00WW_2_420,MR update and SP (Android 13) ,,"April 24, 2023"
Nokia X30 5G,2023-03-01,Monthly,Jan-26,Mar-23,00WW_2_220 ,MR Update and SP (Android 12),,"April 19, 2023"
Nokia G60 5G,2023-03-01,Monthly,Dec-25,Mar-23,00WW_2_260,MR upgrade and SP (Android 13) ,,"April 19, 2023"
Nokia 3.4,2023-03-01,Monthly,Nov-23,Mar-23,00WW_3_500,MR Update and SP (Android 12),,"April 18, 2023"
Nokia 5.4,2023-03-01,Monthly,Jan-24,Mar-23,00WW_3_460,MR Update and SP (Android 12),,"April 18, 2023"
Nokia 5.3,2023-04-01,Monthly,Jun-23,Apr-23,00WW_3_490_SP01,SP Only (Android 12),,"April 13, 2023"
Nokia C20,2023-04-01,Quarterly,Jun-23,Apr-23,00WW_1_840_SP05,SP Only (Android 11 GO),,"April 13, 2023"
Nokia C20,2023-04-01,Quarterly,Jun-23,Apr-23,00WW_1_800_SP04,SP Only (Android 11 GO),,"April 13, 2023"
Nokia C20,2023-04-01,Quarterly,Jun-23,Apr-23,00WW_1_610_SP06,SP Only (Android 11 GO),,"April 13, 2023"
Nokia C22,2023-03-01,Quarterly,Jun-25,Mar-23,00WW_1_120,Ramp Up Production (Android 13 GO),,"April 12, 2023"
Nokia G22,2023-03-01,Monthly,Apr-26,Mar-23,00WW_1_120,MR update and SP (Android 12) ,,"April 12, 2023"
Nokia G10,2023-03-01,Monthly,Jul-24,Mar-23,00WW_3_300,MR Upgrade and SP (Android 13) ,,"April 11, 2023"
Nokia T20,2023-04-01,Monthly,Nov-24,Apr-23,00WW_2_360_SP01,SP Only (Android 12),,"April 10, 2023"
Nokia G20,2023-03-01,Monthly,Jul-24,Mar-23,00WW_3_290,MR update and SP (Android 13) ,,"April 10, 2023"
Nokia XR21,2023-03-01,Monthly,Mar-27,Mar-23,00WW_1_090,Ramp Up Production (Android 12 ),Estimated,"April 10, 2023"
Nokia G21,2023-03-01,Monthly,Mar-25,Mar-23,00WW_2_640,MR Update and SP (Android 12),,"April 06, 2023"
Nokia G11,2023-03-01,Monthly,May-25,Mar-23,00WW_2_640,MR Update and SP (Android 12),,"April 06, 2023"
Nokia T21,2023-03-01,Monthly,Mar-26,Mar-23,00WW_1_190_SP01,SP Only (Android 12),,"April 06, 2023"
Nokia C32,2023-03-01,Quarterly,May-25,Mar-23,00WW_1_070,Ramp Up Production (Android 13),,"April 05, 2023"
Nokia 2.4,2023-03-01,Monthly,Oct-23,Mar-23,00WW_3_470,MR Update and SP (Android 12),,"April 04, 2023"
Nokia X30 5G,2023-03-01,Monthly,Jan-26,Mar-23,00WW_1_310_SP02,SP Only (Android 12),,"April 04, 2023"
Nokia G50,2023-03-01,Monthly,Dec-24,Mar-23,00WW_3_200_SP03,SP Only (Android 13),,"April 03, 2023"
Nokia XR20,2023-03-01,Monthly,Nov-25,Mar-23,00WW_3_280_SP03,SP Only (Android 13),,"April 03, 2023"
Nokia X10,2023-03-01,Monthly,Sep-24,Mar-23,00WW_3_370_SP01,SP Only (Android 13),,"April 03, 2023"
Nokia X20,2023-03-01,Monthly,Jul-24,Mar-23,00WW_3_470_SP01,SP Only (Android 13),,"April 03, 2023"
Nokia G11 Plus,2023-03-01,Monthly,Oct-25,Mar-23,00WW_1_430,SP Only (Android 12),,"April 03, 2023"
Nokia 5.3,2023-02-01,Monthly,Jun-23,Feb-23,00WW_3_490,MR Upgrade and SP (Android 12),,"March 31, 2023"
Nokia 1.4,2023-03-01,Monthly,Apr-24,Mar-23,00WW_2_210_SP01,SP Only (Android 11 GO),,"March 30, 2023"
Nokia C12,2023-01-01,Quarterly,Apr-25,Jan-23,00WW_1_220,MR Update and SP (Android 12 GO),,"March 29, 2023"
Nokia C22,2023-01-01,Quarterly,Jun-25,Jan-23,00WW_1_090,Ramp Up Production (Android 13 GO),,"March 29, 2023"
Nokia T10,2023-03-01,Monthly,Dec-25,Mar-23,00WW_1_320_SP01,SP Only (Android 12),,"March 27, 2023"
Nokia C02,2023-02-01,Quarterly,May-25,Feb-23,00WW_1_090,MR Update and SP (Android 12 GO),,"March 27, 2023"
Nokia C12,2023-01-01,Quarterly,Apr-25,Jan-23,00WW_1_160,MR Update and SP (Android 12 GO),,"March 27, 2023"
Nokia C12,2023-01-01,Quarterly,Apr-25,Jan-23,00WW_1_200,Ramp Up Production (Android 12 GO),,"March 25, 2023"
Nokia G20,2023-03-01,Monthly,Jul-24,Mar-23,00WW_2_360_SP09,SP Only (Android 12),,"March 23, 2023"
Nokia G10,2023-03-01,Monthly,Jul-24,Mar-23,00WW_2_400_SP09,SP Only (Android 12),,"March 23, 2023"
Nokia G60 5G,2023-03-01,Monthly,Dec-25,Mar-23,00WW_1_280_SP02,SP Only (Android 12),,"March 21, 2023"
Nokia T20,2023-03-01,Monthly,Nov-24,Mar-23,00WW_2_360,MR Update and SP (Android 12),,"March 21, 2023"
Nokia X10,2023-02-01,Monthly,Sep-24,Feb-23,00WW_3_370 ,MR Upgrade and SP (Android 13),,"March 20, 2023"
Nokia X20,2023-02-01,Monthly,Jul-24,Feb-23,00WW_3_470,MR Upgrade and SP (Android 13),,"March 20, 2023"
Nokia 2.4,2023-02-01,Monthly,Oct-23,Feb-23,00WW_3_410_SP04,SP Only (Android 12),,"March 16, 2023"
Nokia C02,2023-02-01,Quarterly,May-25,Feb-23,00WW_1_080,MR Update and SP (Android 12 GO),,"March 13, 2023"
Nokia 1.3,2023-03-01,Quarterly,Jun-23,Mar-23,00WW_2_370_SP08,SP Only (Android 11 GO),Monthly to Quarterly SPs after Jun-22,"March 08, 2023"
Nokia T20,2023-02-01,Monthly,Nov-24,Feb-23,00WW_2_340,MR Update and SP (Android 12),,"March 07, 2023"
Nokia G10,2023-02-01,Monthly,Jul-24,Feb-23,00WW_2_400_SP08,SP Only (Android 12),,"March 07, 2023"
Nokia G11 Plus,2023-02-01,Monthly,Oct-25,Feb-23,00WW_1_250_SP05,SP Only (Android 12),,"March 07, 2023"
Nokia T10,2023-02-01,Monthly,Dec-25,Feb-23,00WW_1_320 ,MR Update and SP (Android 12),,"March 06, 2023"
Nokia G21,2023-02-01,Monthly,Mar-25,Feb-23,00WW_2_600,MR Update and SP (Android 12),,"March 03, 2023"
Nokia G11,2023-02-01,Monthly,May-25,Feb-23,00WW_2_600,MR Update and SP (Android 12),,"March 03, 2023"
Nokia G22,2023-01-01,Monthly,Apr-26,Jan-23,00WW_1_080,Ramp Up Production (Android 12),,"March 03, 2023"
Nokia G20,2023-02-01,Monthly,Jul-24,Feb-23,00WW_2_360_SP08,SP Only (Android 12),,"March 03, 2023"
Nokia C30 (India),2023-02-01,Quarterly,Dec-23,Feb-23,00WW_1_860_SP02,SP Only (Android 11 GO),,"March 01, 2023"
Nokia 8.3 5G,2023-02-01,Monthly,Nov-23,Feb-23,00WW_3_490_SP02,SP Only (Android 12),,"February 28, 2023"
Nokia C31,2023-02-01,Quarterly,Dec-24,Feb-23,00WW_1_180,MR Update and SP (Android 12),,"February 27, 2023"
Nokia C01 Plus,2023-02-01,Quarterly,Aug-23,Feb-23,00WW_1_370_SP01,SP Only (Android 11 GO),,"February 24, 2023"
Nokia 5.4,2023-02-01,Monthly,Jan-24,Feb-23,00WW_3_380_SP02,SP Only (Android 12),,"February 24, 2023"
Nokia 3.4,2023-02-01,Monthly,Nov-23,Feb-23,00WW_3_400_SP02,SP Only (Android 12),,"February 24, 2023"
Nokia 5.3,2023-02-01,Monthly,Jun-23,Feb-23,00WW_2_290_SP04,SP Only (Android 11),,"February 24, 2023"
Nokia 1.4,2023-01-01,Monthly,Apr-24,Jan-23,00WW_2_210,MR Update and SP (Android 11 GO),,"February 23, 2023"
Nokia XR20,2023-02-01,Monthly,Nov-25,Feb-23,00WW_2_450_SP02,SP Only (Android 12),,"February 23, 2023"
Nokia T10,2023-02-01,Monthly,Dec-25,Feb-23,00WW_1_210_SP04,SP Only (Android 12),,"February 23, 2023"
Nokia G50,2023-02-01,Monthly,Dec-24,Feb-23,00WW_2_420_SP03,SP Only (Android 12),,"February 23, 2023"
Nokia G21,2023-01-01,Monthly,Mar-25,Jan-23,00WW_2_420_SP04,SP Only (Android 12),,"February 22, 2023"
Nokia G21,2023-01-01,Monthly,Mar-25,Jan-23,00WW_1_570_SP05,SP Only (Android 11),,"February 22, 2023"
