phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia 2.4,2021-01-01,Monthly,Oct-23,Jan-21,00WW_1_130_SP01 ,SP Only (Android 10),,"February 01, 2021"
Nokia 6.2,2021-01-01,Monthly,Oct-22,Jan-21,00WW_2_400,MR Update and SP (Android 10),,"February 01, 2021"
Nokia 2.2,2021-01-01,Monthly,Jun-22,Jan-21,00WW_2_400_SP05,SP Only (Android 10),,"February 01, 2021"
Nokia 2.2,2021-01-01,Monthly,Jun-22,Jan-21,00WW_2_420_SP02,SP Only (Android 10),,"February 01, 2021"
Nokia 3.1 Plus,2021-01-01,Monthly,Oct-21,Jan-21,00WW_3_15P_SP02,SP Only (Android 10),,"February 01, 2021"
Nokia 1,2021-01-01,Quarterly,Apr-21,Jan-21,00WW_3_110_SP02,SP Only (Android 10 GO),,"February 01, 2021"
Nokia 2.3,2021-01-01,Monthly,Dec-22,Jan-21,00WW_2_340_SP02,SP Only (Android 10),,"February 01, 2021"
Nokia 5.4,2021-01-01,Monthly,Jan-24,Jan-21,00WW_1_150,MR Update and SP (Android 10),,"January 29, 2021"
Nokia 7.1,2021-01-01,Monthly,Nov-21,Jan-21,00WW_4 _15C_SP08,SP Only (Android 10),,"January 28, 2021"
Nokia 7.1,2021-01-01,Monthly,Nov-21,Jan-21,00WW_4 _16B_SP03,SP Only (Android 10),,"January 28, 2021"
Nokia 7 Plus,2021-01-01,Monthly,Apr-21,Jan-21,00WW_4 _16B_SP03,SP Only (Android 10),,"January 28, 2021"
Nokia 6.1,2021-01-01,Monthly,Apr-21,Jan-21,00WW_4 _16B_SP03,SP Only (Android 10),,"January 28, 2021"
Nokia 3.4,2020-12-01,Monthly,Nov-23,Dec-20,00WW_1_330,MR Update and SP (Android 10),,"January 27, 2021"
Nokia 7.2,2021-01-01,Monthly,Sep-22,Jan-21,00WW_2_410 ,MR Update and SP (Android 10),,"January 26, 2021"
Nokia 7.2,2021-01-01,Monthly,Sep-22,Jan-21,00WW_2_400 ,MR Update and SP (Android 10),,"January 26, 2021"
Nokia 4.2,2021-01-01,Monthly,Apr-22,Jan-21,00WW_2_330_SP06,SP Only (Android 10),,"January 26, 2021"
