device_slug,source_url,filename,file_size,brand,device_name,model_code,chipset,build,market,date_token
tecno-camon-17-cg6,https://naijarom.com/tecno-camon-17-cg6,Tecno_Camon_17_CG6_MT6768_V704_211103.zip,,,,,,,,
tecno-camon-17-cg6,https://naijarom.com/tecno-camon-17-cg6,Tecno_Camon_17_CG6_MT6768_V746_211212.zip,,,,,,,,
tecno-camon-17-cg6j,https://naijarom.com/tecno-camon-17-cg6j,Tecno_Camon_17_CG6J_MT6768_V425_210510.zip,,,,,,,,
tecno-camon-17-cg8,https://naijarom.com/tecno-camon-17-cg8,Tecno_Camon_17_CG8_MT6785_V970_230303.zip,,,,,,,,
tecno-camon-17p-cg7,https://naijarom.com/tecno-camon-17p-cg7,Tecno_Camon_17P_CG7_MT6768_V75_210416.zip,,,,,,,,
tecno-camon-17p-cg7n,https://naijarom.com/tecno-camon-17p-cg7n,Tecno_Camon_17P_CG7n_MT6768_V140_210524.zip,,,,,,,,
tecno-camon-17-pro-cg8,https://naijarom.com/tecno-camon-17-pro-cg8,Tecno_Camon_17_Pro_CG8_MT6785_V141_210129.zip,,,,,,,,
tecno-camon-17-pro-cg8,https://naijarom.com/tecno-camon-17-pro-cg8,Tecno_Camon_17_Pro_CG8_MT6785_V970_230303.zip,,,,,,,,
tecno-camon-17-pro-le7,https://naijarom.com/tecno-camon-17-pro-le7,Tecno_Camon_17_Pro_LE7_MT6768_V353_210512.zip,,,,,,,,
tecno-camon-17-pro-le7,https://naijarom.com/tecno-camon-17-pro-le7,Tecno_Camon_17_Pro_LE7_MT6768_V728_230110.zip,,,,,,,,
tecno-camon-18-ch7,https://naijarom.com/tecno-camon-18-ch7,Tecno_Camon_18_CH7_MT6781_V469_211217.zip,,,,,,,,
tecno-camon-18p-ch7n,https://naijarom.com/tecno-camon-18p-ch7n,Tecno_Camon_18P_CH7N_MT6781_V739_230227.zip,,,,,,,,
tecno-camon-18p-ch7n,https://naijarom.com/tecno-camon-18p-ch7n,Tecno_Camon_18P_CH7N_MT6781_V740_230227.zip,,,,,,,,
