source_url,outcome,detail
https://naijarom.com/tecno-pova-neo-5g-le6j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-neo-le6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-pova-neo-le6h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-r8s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-s1s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-smart-6-hd-x6512,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-5g-ki8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-ki5n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-ki5q,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-ki5qs,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-ki8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-10-pro-ki7s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-20c-bg7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-20c-bg7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-20-pro-kj8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-20-pro-plus,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-20-pro-plus-kj7s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30-5g-kl8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30c-5g-kl8h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30c-kl5,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30c-kl5n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30c-kl5s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30-kl6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-30-pro-kl7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-3-kb7j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-4-kc2,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-5-air-kd6a,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-5-kg5,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-5-pro-kd7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-6-air-be6j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-6-air-ke6j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-6-go-ke5j,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-6-ke7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-7-kf6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-7-kf6ks,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-7-pr651,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-7-pr651h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8c-kg5k,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8c-kg5ks,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8c-kg5n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8c-kg5q,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8-kg5k,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8-kg6k,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8-kg8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8p-kg7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8p-kg7h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8p-kg7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8-pro-kg8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-8t-kg6p,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-9-kg5p,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-9-pro-kh7s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-9t-kh6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-cm-ka9,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-1-kl4,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-1s-kl4h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2022-kg5,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2022-kg5h,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2022-kg5m,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2023-bf7n,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2024-bg6,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2024-bg6m,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-2024-bg6s,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-kl4,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-go-plus-bb4k,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-k7,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-spark-power-2-lc8,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-tab-4g-p704a,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-w1,no_firmware_listed,"page fetched, zero firmware filenames"
https://naijarom.com/tecno-wx3-pro,no_firmware_listed,"page fetched, zero firmware filenames"
