bulletin_month,cve,tier,section,type,severity,component,references,updated_aosp_versions
2017-04,CVE-2016-10237,05,Qualcomm,,Critical,,A-31628601** QC-CR#1046751,
2017-04,CVE-2016-10238,05,Qualcomm,,Critical,,A-35358527** QC-CR#1042558,
2017-04,CVE-2016-10239,05,Qualcomm,,High,,A-31624618** QC-CR#1032929,
2017-04,CVE-2016-5129,05,Remote code execution vulnerability in v8,,High,,A-29178923,"6.0, 6.0.1, 7.0"
2017-04,CVE-2016-10244,05,Remote code execution vulnerability in Freetype,,High,,A-31470908,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0"
2017-04,CVE-2014-4656,05,Elevation of privilege vulnerability in kernel sound subsystem,,High,,A-34464977 Upstream kernel,
2017-04,CVE-2017-0339,05,NVIDIA,,High,,A-27930566* N-CVE-2017-0339,
2017-04,CVE-2017-0332,05,NVIDIA,,High,,A-33812508* N-CVE-2017-0332,
2017-04,CVE-2017-0327,05,NVIDIA,,High,,A-33893669* N-CVE-2017-0327,
2017-04,CVE-2017-0565,05,MediaTek,,High,,A-28175904* M-ALPS02696516,
2017-04,CVE-2017-0566,05,MediaTek,,High,,A-28470975* M-ALPS02696367,
2017-04,CVE-2017-0567,05,Broadcom,,High,,A-32125310* B-RB#112575,
2017-04,CVE-2017-0568,05,Broadcom,,High,,A-34197514* B-RB#112600,
2017-04,CVE-2017-0569,05,Broadcom,,High,,A-34198729* B-RB#110666,
2017-04,CVE-2017-0570,05,Broadcom,,High,,A-34199963* B-RB#110688,
2017-04,CVE-2017-0571,05,Broadcom,,High,,A-34203305* B-RB#111541,
2017-04,CVE-2017-0572,05,Broadcom,,High,,A-34198931* B-RB#112597,
2017-04,CVE-2017-0573,05,Broadcom,,High,,A-34469904* B-RB#91539,
2017-04,CVE-2017-0574,05,Broadcom,,High,,A-34624457* B-RB#113189,
2017-04,CVE-2017-0575,05,Qualcomm,,High,,A-32658595* QC-CR#1103099,
2017-04,CVE-2017-0325,05,NVIDIA,,High,,A-33040280* N-CVE-2017-0325,
2017-04,CVE-2017-0454,05,Qualcomm,,High,,A-33353700 QC-CR#1104067,
2017-04,CVE-2017-0576,05,Qualcomm,,High,,A-33544431 QC-CR#1103089,
2017-04,CVE-2017-0577,05,Elevation of privilege vulnerability in HTC touchscreen driver,,High,,A-33842951*,
2017-04,CVE-2017-0578,05,Elevation of privilege vulnerability in DTS sound driver,,High,,A-33964406*,
2017-04,CVE-2016-10231,05,Qualcomm,,High,,A-33966912 QC-CR#1096799,
2017-04,CVE-2017-0579,05,Qualcomm,,High,,A-34125463* QC-CR#1115406,
2017-04,CVE-2016-10232,05,Qualcomm,,High,,A-34386696 QC-CR#1024872 [2],
2017-04,CVE-2016-10233,05,Qualcomm,,High,,A-34389926 QC-CR#897452,
2017-04,CVE-2017-0329,05,NVIDIA,,High,,A-34115304* N-CVE-2017-0329,
2017-04,CVE-2017-0580,05,Elevation of privilege vulnerability in Synaptics touchscreen driver,,High,,A-34325986*,
2017-04,CVE-2017-0581,05,Elevation of privilege vulnerability in Synaptics touchscreen driver,,High,,A-34614485*,
2017-04,CVE-2017-0462,05,Qualcomm,,High,,A-33353601 QC-CR#1102288,
2017-04,CVE-2017-6423,05,Qualcomm,,High,,A-32831370 QC-CR#1103158,
2017-04,CVE-2014-9922,05,Elevation of privilege vulnerability in kernel file system,,High,,A-32761463 Upstream kernel,
2017-04,CVE-2014-0206,05,Information disclosure vulnerability in kernel memory subsystem,,High,,A-34465735 Upstream kernel,
2017-04,CVE-2014-3145,05,Information disclosure vulnerability in kernel networking subsystem,,High,,A-34469585 Upstream kernel [2],
2017-04,CVE-2016-5349,05,Qualcomm,,High,,A-29083830 QC-CR#1021945 [2] [3] [4],
2017-04,CVE-2016-10234,05,Qualcomm,,High,,A-34390017 QC-CR#1069060 [2],
2017-04,CVE-2014-2706,05,Denial of service vulnerability in kernel networking subsystem,,High,,A-34160553 Upstream kernel,
2017-04,CVE-2016-10235,05,Qualcomm,,High,,A-34390620 QC-CR#1046409,
2017-04,CVE-2016-7097,05,Elevation of privilege vulnerability in kernel file system,,Moderate,,A-32458736 Upstream kernel,
2017-04,CVE-2017-6424,05,Qualcomm,,Moderate,,A-32086742 QC-CR#1102648,
2017-04,CVE-2016-8465,05,Broadcom,,Moderate,,A-32474971* B-RB#106053,
2017-04,CVE-2017-0582,05,Elevation of privilege vulnerability in HTC OEM fastboot command,,Moderate,,A-33178836*,
2017-04,CVE-2017-0583,05,Qualcomm,,Moderate,,A-32068683 QC-CR#1103788,
2017-04,CVE-2014-1739,05,Information disclosure vulnerability in kernel media driver,,Moderate,,A-34460642 Upstream kernel,
2017-04,CVE-2017-0584,05,Qualcomm,,Moderate,,A-32074353* QC-CR#1104731,
2017-04,CVE-2017-0585,05,Broadcom,,Moderate,,A-32475556* B-RB#112953,
2017-04,CVE-2016-5346,05,Qualcomm,,Moderate,,A-32551280 QC-CR#1097878,
2017-04,CVE-2017-6425,05,Qualcomm,,Moderate,,A-32577085 QC-CR#1103689,
2017-04,CVE-2016-10236,05,Qualcomm,,Moderate,,A-33280689 QC-CR#1102418,
2017-04,CVE-2017-0586,05,Qualcomm,,Moderate,,A-33649808 QC-CR#1097569,
2017-04,CVE-2017-6426,05,Qualcomm,,Moderate,,A-33644474 QC-CR#1106842,
2017-04,CVE-2017-0328,05,NVIDIA,,Moderate,,A-33898322* N-CVE-2017-0328,
2017-04,CVE-2017-0330,05,NVIDIA,,Moderate,,A-33899858* N-CVE-2017-0330,
2017-04,CVE-2014-9931,05,Qualcomm,,Critical,,A-35445101**,
2017-04,CVE-2014-9932,05,Qualcomm,,Critical,,A-35434683**,
2017-04,CVE-2014-9933,05,Qualcomm,,Critical,,A-35442512**,
2017-04,CVE-2014-9934,05,Qualcomm,,Critical,,A-35439275**,
2017-04,CVE-2014-9935,05,Qualcomm,,Critical,,A-35444951**,
2017-04,CVE-2014-9936,05,Qualcomm,,Critical,,A-35442420**,
2017-04,CVE-2014-9937,05,Qualcomm,,Critical,,A-35445102**,
2017-04,CVE-2015-8995,05,Qualcomm,,Critical,,A-35445002**,
2017-04,CVE-2015-8996,05,Qualcomm,,Critical,,A-35444658**,
2017-04,CVE-2015-8997,05,Qualcomm,,Critical,,A-35432947**,
2017-04,CVE-2015-8998,05,Qualcomm,,Critical,,A-35441175**,
2017-04,CVE-2015-8999,05,Qualcomm,,Critical,,A-35445401**,
2017-04,CVE-2015-9000,05,Qualcomm,,Critical,,A-35441076**,
2017-04,CVE-2015-9001,05,Qualcomm,,Critical,,A-35445400**,
2017-04,CVE-2015-9002,05,Qualcomm,,Critical,,A-35442421**,
2017-04,CVE-2015-9003,05,Qualcomm,,Critical,,A-35440626**,
2017-04,CVE-2016-10242,05,Qualcomm,,Critical,,A-35434643**,
2017-05,CVE-2017-0587,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-35219737,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0588,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-34618607,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0589,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-34897036,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0590,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-35039946,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0591,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-34097672,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0592,01,Remote code execution vulnerability in Mediaserver,,Critical,,A-34970788,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0593,01,Elevation of privilege vulnerability in Framework APIs,,High,,A-34114230,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0594,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-34617444,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0595,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-34705519,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1"
2017-05,CVE-2017-0596,01,Elevation of privilege vulnerability in Mediaserver,,High,,A-34749392,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1"
2017-05,CVE-2017-0597,01,Elevation of privilege vulnerability in Audioserver,,High,,A-34749571,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0598,01,Information disclosure vulnerability in Framework APIs,,High,,A-34128677 [ 2 ],"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0599,01,Denial of service vulnerability in Mediaserver,,High,,A-34672748,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0600,01,Denial of service vulnerability in Mediaserver,,High,,A-35269635,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0601,01,Elevation of privilege vulnerability in Bluetooth,,Moderate,,A-35258579,"7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0493,01,Information disclosure vulnerability in File-Based Encryption,,Moderate,,A-32793550 [ 2 ] [ 3 ],"7.0, 7.1.1"
2017-05,CVE-2017-0602,01,Information disclosure vulnerability in Bluetooth,,Moderate,,A-34946955,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2016-7056,01,Information disclosure vulnerability in OpenSSL &amp; BoringSSL,,Moderate,,A-33752052,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0603,01,Denial of service vulnerability in Mediaserver,,Moderate,,A-35763994,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2017-0635,01,Denial of service vulnerability in Mediaserver,,Low,,A-35467107,"7.0, 7.1.1, 7.1.2"
2017-05,CVE-2015-7555,05,Remote code execution vulnerability in GIFLIB,,Critical,,A-34697653,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2"
2017-05,CVE-2016-10274,05,MediaTek,,Critical,,A-30202412* M-ALPS02897901,
2017-05,CVE-2016-10275,05,Qualcomm,,Critical,,A-34514954 QC-CR#1009111,
2017-05,CVE-2016-10276,05,Qualcomm,,Critical,,A-32952839 QC-CR#1094105,
2017-05,CVE-2016-9794,05,Elevation of privilege vulnerability in kernel sound subsystem,,Critical,,A-34068036 Upstream kernel,
2017-05,CVE-2016-10277,05,Elevation of privilege vulnerability in Motorola bootloader,,Critical,,A-33840490*,
2017-05,CVE-2017-0331,05,NVIDIA,,Critical,,A-34113000* N-CVE-2017-0331,
2017-05,CVE-2017-0604,05,Qualcomm,,Critical,,A-35392981 QC-CR#826589,
2017-05,CVE-2016-10240,05,Qualcomm,,,,A-32578446** QC-CR#955710,
2017-05,CVE-2016-10241,05,Qualcomm,,,,A-35436149** QC-CR#1068577,
2017-05,CVE-2016-10278,05,Qualcomm,,,,A-31624008** QC-CR#1043004,
2017-05,CVE-2016-10279,05,Qualcomm,,,,A-31624421** QC-CR#1031821,
2017-05,CVE-2016-5131,05,Remote code execution vulnerability in libxml2,,High,,A-32956747*,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0"
2017-05,CVE-2016-10280,05,MediaTek,,High,,A-28175767* M-ALPS02696445,
2017-05,CVE-2016-10281,05,MediaTek,,High,,A-28175647* M-ALPS02696475,
2017-05,CVE-2016-10282,05,MediaTek,,High,,A-33939045* M-ALPS03149189,
2017-05,CVE-2016-10283,05,Qualcomm,,High,,A-32094986 QC-CR#2002052,
2017-05,CVE-2016-10284,05,Qualcomm,,High,,A-32402303* QC-CR#2000664,
2017-05,CVE-2016-10285,05,Qualcomm,,High,,A-33752702 QC-CR#1104899,
2017-05,CVE-2016-10286,05,Qualcomm,,High,,A-35400904 QC-CR#1090237,
2017-05,CVE-2015-9004,05,Elevation of privilege vulnerability in kernel performance subsystem,,High,,A-34515362 Upstream kernel,
2017-05,CVE-2016-10287,05,Qualcomm,,High,,A-33784446 QC-CR#1112751,
2017-05,CVE-2017-0606,05,Qualcomm,,High,,A-34088848 QC-CR#1116015,
2017-05,CVE-2016-5860,05,Qualcomm,,High,,A-34623424 QC-CR#1100682,
2017-05,CVE-2016-5867,05,Qualcomm,,High,,A-35400602 QC-CR#1095947,
2017-05,CVE-2017-0607,05,Qualcomm,,High,,A-35400551 QC-CR#1085928,
2017-05,CVE-2017-0608,05,Qualcomm,,High,,A-35400458 QC-CR#1098363,
2017-05,CVE-2017-0609,05,Qualcomm,,High,,A-35399801 QC-CR#1090482,
2017-05,CVE-2016-5859,05,Qualcomm,,High,,A-35399758 QC-CR#1096672,
2017-05,CVE-2017-0610,05,Qualcomm,,High,,A-35399404 QC-CR#1094852,
2017-05,CVE-2017-0611,05,Qualcomm,,High,,A-35393841 QC-CR#1084210,
2017-05,CVE-2016-5853,05,Qualcomm,,High,,A-35392629 QC-CR#1102987,
2017-05,CVE-2016-10288,05,Qualcomm,,High,,A-33863909 QC-CR#1109763,
2017-05,CVE-2016-10289,05,Qualcomm,,High,,A-33899710 QC-CR#1116295,
2017-05,CVE-2016-10290,05,Qualcomm,,High,,A-33898330 QC-CR#1109782,
2017-05,CVE-2016-10291,05,Qualcomm,,High,,A-34030871 QC-CR#986837,
2017-05,CVE-2017-0465,05,Qualcomm,,High,,A-34112914 QC-CR#1110747,
2017-05,CVE-2017-0612,05,Qualcomm,,High,,A-34389303 QC-CR#1061845,
2017-05,CVE-2017-0613,05,Qualcomm,,High,,A-35400457 QC-CR#1086140,
2017-05,CVE-2017-0614,05,Qualcomm,,High,,A-35399405 QC-CR#1080290,
2017-05,CVE-2017-0615,05,MediaTek,,High,,A-34259126* M-ALPS03150278,
2017-05,CVE-2017-0616,05,MediaTek,,High,,A-34470286* M-ALPS03149160,
2017-05,CVE-2017-0617,05,MediaTek,,High,,A-34471002* M-ALPS03149173,
2017-05,CVE-2017-0618,05,MediaTek,,High,,A-35100728* M-ALPS03161536,
2017-05,CVE-2017-0619,05,Qualcomm,,High,,A-35401152 QC-CR#826566,
2017-05,CVE-2017-0620,05,Qualcomm,,High,,A-35401052 QC-CR#1081711,
2017-05,CVE-2016-5862,05,Qualcomm,,High,,A-35399803 QC-CR#1099607,
2017-05,CVE-2014-9940,05,Elevation of privilege vulnerability in kernel voltage regulator driver,,High,,A-35399757 Upstream kernel,
2017-05,CVE-2017-0621,05,Qualcomm,,High,,A-35399703 QC-CR#831322,
2017-05,CVE-2016-5868,05,Qualcomm,,High,,A-35392791 QC-CR#1104431,
2017-05,CVE-2017-7184,05,Elevation of privilege vulnerability in kernel networking subsystem,,High,,A-36565222 Upstream kernel [2],
2017-05,CVE-2017-0622,05,Elevation of privilege vulnerability in Goodix touchscreen driver,,High,,A-32749036 QC-CR#1098602,
